2016/08/18 15:16:23 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:23 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:23 [Gateway][ INFO] Setup gateway key-connector. Key [CONTROL] connector [TcpConnector [type=TCP, server-host='localhost', server-port=0, client-host=null, client-port=7322]]
2016/08/18 15:16:23 [Gateway][ INFO] Setup gateway key-connector. Key [PLOTTER] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7334, client-host=null, client-port=0]]
2016/08/18 15:16:23 [TcpServerConnector][ INFO] TCP server connection waiting: port [7334]
2016/08/18 15:18:23 [MissionStepProcessor][ INFO] Updating target: [Point [x=214.68, y=-619.09, z=200.0]]
2016/08/18 15:18:24 [MissionStepProcessor][ INFO] Updating target: [Point [x=190.98, y=-587.79, z=200.0]]
2016/08/18 15:18:24 [MissionStepProcessor][ INFO] Updating target: [Point [x=168.53, y=-555.57, z=200.0]]
2016/08/18 15:18:25 [MissionStepProcessor][ INFO] Updating target: [Point [x=147.36, y=-522.5, z=200.0]]
2016/08/18 15:18:26 [MissionStepProcessor][ INFO] Updating target: [Point [x=127.5, y=-488.62, z=200.0]]
2016/08/18 15:18:26 [MissionStepProcessor][ INFO] Updating target: [Point [x=108.99, y=-453.99, z=200.0]]
2016/08/18 15:18:27 [MissionStepProcessor][ INFO] Updating target: [Point [x=91.86, y=-418.66, z=200.0]]
2016/08/18 15:18:28 [MissionStepProcessor][ INFO] Updating target: [Point [x=76.12, y=-382.68, z=200.0]]
2016/08/18 15:18:28 [MissionStepProcessor][ INFO] Updating target: [Point [x=61.81, y=-346.12, z=200.0]]
2016/08/18 15:18:29 [MissionStepProcessor][ INFO] Updating target: [Point [x=48.94, y=-309.02, z=200.0]]
2016/08/18 15:18:30 [MissionStepProcessor][ INFO] Updating target: [Point [x=37.54, y=-271.44, z=200.0]]
2016/08/18 15:18:31 [MissionStepProcessor][ INFO] Updating target: [Point [x=27.63, y=-233.45, z=200.0]]
2016/08/18 15:18:31 [MissionStepProcessor][ INFO] Updating target: [Point [x=19.21, y=-195.09, z=200.0]]
2016/08/18 15:18:32 [MissionStepProcessor][ INFO] Updating target: [Point [x=12.31, y=-156.43, z=200.0]]
2016/08/18 15:18:32 [MissionStepProcessor][ INFO] Updating target: [Point [x=6.93, y=-117.54, z=200.0]]
2016/08/18 15:18:33 [MissionStepProcessor][ INFO] Updating target: [Point [x=3.08, y=-78.46, z=200.0]]
2016/08/18 15:18:34 [MissionStepProcessor][ INFO] Updating target: [Point [x=0.77, y=-39.26, z=200.0]]
2016/08/18 15:18:34 [MissionStepProcessor][ INFO] Updating target: [Point [x=0.0, y=-0.0, z=200.0]]
2016/08/18 15:18:35 [MissionStepProcessor][ INFO] Target reached; no more targets.
2016/08/18 15:18:35 [MissionProcessor][ INFO] Update step: [CommandStepProcessor]
2016/08/18 15:18:35 [MissionProcessor][ INFO] Step finished; no more steps.
